gene_name,gene_id
AC005588.2,ENSG00000226509
AC005592.1,ENSG00000236714
AC005592.2,ENSG00000231185
AC005592.3,ENSG00000261757
AC005594.3,ENSG00000205790
AC005597.1,ENSG00000267223
AC005606.1,ENSG00000269205
AC005606.14,ENSG00000261790
AC005606.15,ENSG00000260107
AC005609.1,ENSG00000249034
AC005609.2,ENSG00000248106
AC005614.3,ENSG00000269296
AC005614.5,ENSG00000269749
AC005616.1,ENSG00000266893
AC005616.2,ENSG00000267423
AC005618.1,ENSG00000255729
AC005618.6,ENSG00000272070
AC005621.1,ENSG00000263780
AC005624.2,ENSG00000267201
AC005625.1,ENSG00000266963
AC005626.3,ENSG00000269354
AC005631.1,ENSG00000221454
AC005682.5,ENSG00000228649
AC005682.6,ENSG00000226329
AC005682.7,ENSG00000226279
AC005682.8,ENSG00000235664
AC005686.1,ENSG00000265985
AC005701.1,ENSG00000263623
AC005702.1,ENSG00000263422
AC005702.2,ENSG00000263820
AC005702.3,ENSG00000265638
AC005702.4,ENSG00000266701
AC005703.2,ENSG00000237377
AC005703.3,ENSG00000230971
AC005722.4,ENSG00000230607
AC005725.1,ENSG00000253002
AC005730.2,ENSG00000225681
AC005740.3,ENSG00000226040
AC005740.4,ENSG00000250347
AC005740.5,ENSG00000254099
AC005740.6,ENSG00000271871
AC005741.2,ENSG00000249418
AC005754.7,ENSG00000272154
AC005754.8,ENSG00000272108
AC005757.6,ENSG00000267044
AC005757.7,ENSG00000267037
AC005758.1,ENSG00000267630
AC005772.2,ENSG00000232058
AC005775.2,ENSG00000266933
AC005776.1,ENSG00000270802
AC005777.3,ENSG00000267148
AC005779.1,ENSG00000225157
AC005779.2,ENSG00000267545
AC005780.1,ENSG00000267320
AC005783.1,ENSG00000266209
AC005785.2,ENSG00000268189
AC005786.3,ENSG00000266959
AC005786.5,ENSG00000267231
AC005786.7,ENSG00000267436
AC005789.11,ENSG00000267473
AC005789.9,ENSG00000267090
AC005794.1,ENSG00000268582
AC005795.1,ENSG00000268034
AC005808.3,ENSG00000235415
AC005822.1,ENSG00000235554
AC005831.1,ENSG00000196138
AC005838.2,ENSG00000223544
AC005841.1,ENSG00000206044
AC005863.1,ENSG00000205325
AC005863.2,ENSG00000238212
AC005884.1,ENSG00000227694
AC005926.1,ENSG00000266257
AC005932.1,ENSG00000269019
AC005943.4,ENSG00000266926
AC005943.5,ENSG00000267161
AC005944.2,ENSG00000267469
AC005954.3,ENSG00000267138
AC005954.4,ENSG00000267205
AC006000.5,ENSG00000237713
AC006001.1,ENSG00000177418
AC006003.3,ENSG00000231515
AC006004.1,ENSG00000236795
AC006007.1,ENSG00000230746
AC006011.4,ENSG00000244563
AC006014.1,ENSG00000268891
AC006014.10,ENSG00000205505
AC006014.7,ENSG00000242073
AC006014.8,ENSG00000146722
AC006019.3,ENSG00000203335
AC006019.4,ENSG00000233363
AC006022.4,ENSG00000223419
AC006023.8,ENSG00000248711
AC006024.4,ENSG00000218305
AC006026.1,ENSG00000223275
AC006026.10,ENSG00000232553
AC006026.12,ENSG00000228953
AC006026.13,ENSG00000234286
AC006026.9,ENSG00000224785
AC006028.11,ENSG00000231357
AC006033.22,ENSG00000231916
AC006035.1,ENSG00000230981
AC006037.2,ENSG00000226442
AC006041.1,ENSG00000229379
AC006042.6,ENSG00000227719
AC006042.7,ENSG00000233108
AC006042.8,ENSG00000233264
AC006045.3,ENSG00000225816
AC006050.2,ENSG00000231421
AC006070.12,ENSG00000251439
AC006076.1,ENSG00000225563
AC006077.4,ENSG00000270892
AC006080.1,ENSG00000265189
AC006111.1,ENSG00000178430
AC006115.1,ENSG00000265070
AC006115.3,ENSG00000269793
AC006115.6,ENSG00000268407
AC006116.1,ENSG00000266631
AC006116.12,ENSG00000267192
AC006116.13,ENSG00000266932
AC006116.14,ENSG00000267145
AC006116.15,ENSG00000267429
AC006116.17,ENSG00000267549
AC006116.19,ENSG00000267298
AC006116.20,ENSG00000267710
AC006116.21,ENSG00000267606
AC006116.22,ENSG00000266907
AC006116.24,ENSG00000267776
AC006116.27,ENSG00000267459
AC006126.3,ENSG00000266958
AC006126.4,ENSG00000267045
AC006129.1,ENSG00000268355
AC006129.2,ENSG00000268027
AC006129.4,ENSG00000270164
AC006130.1,ENSG00000263997
AC006130.3,ENSG00000267063
AC006130.4,ENSG00000267398
AC006133.3,ENSG00000240320
AC006145.1,ENSG00000263416
AC006150.1,ENSG00000226323
AC006150.2,ENSG00000221428
AC006153.3,ENSG00000251154
AC006156.1,ENSG00000225516
AC006156.2,ENSG00000270073
AC006159.3,ENSG00000231210
AC006159.4,ENSG00000243220
AC006159.5,ENSG00000235427
AC006160.5,ENSG00000249502
AC006195.2,ENSG00000238090
AC006196.1,ENSG00000230173
AC006227.1,ENSG00000229457
AC006262.10,ENSG00000269745
AC006262.4,ENSG00000269729
AC006262.5,ENSG00000268621
AC006262.6,ENSG00000268460
AC006272.1,ENSG00000269483
AC006272.2,ENSG00000268316
AC006273.4,ENSG00000272473
AC006273.5,ENSG00000267530
AC006273.7,ENSG00000266927
AC006277.2,ENSG00000253392
AC006296.1,ENSG00000251412
AC006296.2,ENSG00000248425
AC006322.1,ENSG00000222994
AC006326.3,ENSG00000230785
AC006326.5,ENSG00000230605
AC006328.1,ENSG00000252471
AC006328.9,ENSG00000233619
AC006335.10,ENSG00000235094
AC006335.11,ENSG00000242879
AC006335.2,ENSG00000251275
AC006335.6,ENSG00000250204
AC006355.3,ENSG00000229110
AC006366.3,ENSG00000244000
AC006369.2,ENSG00000236213
AC006369.3,ENSG00000236572
AC006371.1,ENSG00000252694
AC006372.1,ENSG00000236669
AC006372.4,ENSG00000234210
AC006372.5,ENSG00000223872
AC006372.6,ENSG00000233191
AC006373.1,ENSG00000235431
AC006377.1,ENSG00000223070
AC006378.2,ENSG00000236861
AC006380.1,ENSG00000221751
AC006380.3,ENSG00000231418
AC006390.4,ENSG00000251638
AC006427.2,ENSG00000248851
AC006432.1,ENSG00000266633
AC006435.1,ENSG00000205821
AC006445.6,ENSG00000242209
AC006445.7,ENSG00000249148
AC006449.1,ENSG00000269094
AC006452.1,ENSG00000221732
AC006455.1,ENSG00000230000
AC006458.3,ENSG00000227489
AC006460.2,ENSG00000228509
AC006461.2,ENSG00000228568
AC006465.4,ENSG00000214998
AC006466.5,ENSG00000232887
AC006480.1,ENSG00000265600
AC006482.1,ENSG00000228675
AC006483.1,ENSG00000263900
AC006483.5,ENSG00000228974
AC006486.1,ENSG00000204957
AC006486.9,ENSG00000268643
AC006487.1,ENSG00000252789
AC006499.1,ENSG00000251338
AC006499.2,ENSG00000251278
AC006499.3,ENSG00000250505
AC006499.4,ENSG00000250074
AC006499.5,ENSG00000250573
AC006499.6,ENSG00000248777
AC006499.7,ENSG00000251296
AC006499.8,ENSG00000250040
AC006499.9,ENSG00000271544
